block_id,image,rectified,vis,class_id,format_len,strategy,angle_est,error
n00074,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00074.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00074_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00074_poly.jpg,86,4,Hough,18.187,
n00075,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00075.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00075_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00075_poly.jpg,86,4,Hough,0.435,
n00076,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00076.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00076_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00076_poly.jpg,86,4,Hough,-1.212,
n00077,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00077.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00077_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00077_poly.jpg,86,4,Hough,-11.349,
n00078,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00078.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00078_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00078_poly.jpg,86,4,Hough,-1.566,
n00079,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00079.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00079_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00079_poly.jpg,86,4,Hough,-2.216,
n00080,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00080.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00080_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00080_poly.jpg,86,4,Hough,3.633,
n00081,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00081.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00081_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00081_poly.jpg,86,4,Hough,17.647,
n00082,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00082.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00082_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00082_poly.jpg,86,4,Hough,-1.148,
n00083,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00083.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00083_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00083_poly.jpg,86,4,Hough,-0.552,
n00084,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00084.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00084_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00084_poly.jpg,86,4,Hough,9.181,
n00085,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00085.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00085_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00085_poly.jpg,86,4,Hough,0.000,
n00087,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00087.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00087_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00087_poly.jpg,86,4,Hough,2.628,
n00088,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00088.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00088_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00088_poly.jpg,86,4,Hough,-1.592,
n00089,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00089.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00089_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00089_poly.jpg,86,4,Hough,6.050,
n00090,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00090.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00090_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00090_poly.jpg,86,4,Hough,-0.496,
n00091,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00091.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00091_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00091_poly.jpg,86,4,Hough,0.256,
n00092,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00092.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00092_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00092_poly.jpg,86,4,Hough,-0.575,
n00093,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00093.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00093_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00093_poly.jpg,86,4,Hough,2.094,
n00094,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00094.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00094_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00094_poly.jpg,86,4,Hough,-1.407,
n00095,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00095.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00095_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00095_poly.jpg,86,4,Hough,-0.055,
n00097,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00097.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00097_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00097_poly.jpg,86,4,Hough,-5.010,
